"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	40	0	"ROOT"
"2"	2	2	40	6	"ROOT"
"3"	3	3	40	0	"ROOT"
"4"	4	4	40	0	"ROOT"
"5"	5	5	40	0	"ROOT"
"6"	6	6	40	0	"ROOT"
"7"	7	7	40	0	"ROOT"
"8"	8	8	40	0	"ROOT"
"9"	9	9	40	0	"ROOT"
"10"	10	10	40	0	"ROOT"
"11"	2	11	30	0	"Genetic"
"12"	2	12	30	0	"Genetic"
"13"	12	13	26	0	"Genetic"
"14"	2	14	25	6	"Genetic"
"15"	2	15	25	0	"Genetic"
"16"	14	16	22	21	"Genetic"
"17"	12	17	20	0	"Genetic"
"18"	12	18	20	0	"Genetic"
"19"	12	19	20	0	"Genetic"
"20"	3	20	18	0	"Genetic"
"21"	1	21	17	0	"Genetic"
"22"	5	22	17	0	"Genetic"
"23"	12	23	17	0	"Genetic"
"24"	10	24	16	0	"Genetic"
"25"	19	25	15	3	"Genetic"
"26"	9	26	14	0	"Genetic"
"27"	11	27	14	0	"Genetic"
"28"	17	28	14	3	"Genetic"
"29"	17	29	13	0	"Genetic"
"30"	28	30	13	0	"Genetic"
"31"	3	31	12	0	"Genetic"
"32"	12	32	12	0	"Genetic"
"33"	14	33	12	0	"Genetic"
"34"	17	34	12	0	"Genetic"
"35"	23	35	12	0	"Genetic"
"36"	23	36	12	0	"Genetic"
"37"	23	37	12	0	"Genetic"
"38"	15	38	11	0	"Genetic"
"39"	25	39	11	0	"Genetic"
"40"	32	40	11	3	"Genetic"
"41"	33	41	11	0	"Genetic"
"42"	35	42	11	6	"Genetic"
"43"	35	43	11	0	"Genetic"
"44"	6	44	10	0	"Genetic"
"45"	13	45	10	0	"Genetic"
"46"	13	46	10	0	"Genetic"
"47"	39	47	10	0	"Genetic"
"48"	40	48	10	0	"Genetic"
"49"	2	49	9	0	"Genetic"
"50"	41	50	9	6	"Genetic"
"51"	27	51	8	0	"Genetic"
"52"	30	52	8	0	"Genetic"
"53"	32	53	8	0	"Genetic"
"54"	36	54	8	0	"Genetic"
"55"	42	55	8	0	"Genetic"
"56"	12	56	7	0	"Genetic"
"57"	17	57	7	0	"Genetic"
"58"	17	58	7	6	"Genetic"
"59"	25	59	7	6	"Genetic"
"60"	29	60	7	0	"Genetic"
"61"	43	61	7	6	"Genetic"
"62"	47	62	7	6	"Genetic"
"63"	53	63	7	6	"Genetic"
"64"	55	64	7	0	"Genetic"
"65"	55	65	7	6	"Genetic"
"66"	2	66	6	0	"Genetic"
"67"	2	67	6	0	"Genetic"
"68"	4	68	6	0	"Genetic"
"69"	9	69	6	0	"Genetic"
"70"	14	70	6	0	"Genetic"
"71"	15	71	6	6	"Genetic"
"72"	29	72	6	0	"Genetic"
"73"	32	73	6	0	"Genetic"
"74"	47	74	6	6	"Genetic"
"75"	51	75	6	5	"Genetic"
"76"	55	76	6	6	"Genetic"
"77"	57	77	6	6	"Genetic"
"78"	60	78	6	6	"Genetic"
"79"	11	79	5	0	"Genetic"
"80"	26	80	5	0	"Genetic"
"81"	30	81	5	0	"Genetic"
"82"	30	82	5	5	"Genetic"
"83"	40	83	5	0	"Genetic"
"84"	41	84	5	0	"Genetic"
"85"	48	85	5	0	"Genetic"
"86"	60	86	5	0	"Genetic"
"87"	61	87	5	0	"Genetic"
"88"	4	88	4	0	"Genetic"
"89"	67	89	4	4	"Genetic"
"90"	70	90	4	0	"Genetic"
"91"	10	91	3	0	"Genetic"
"92"	27	92	3	3	"Genetic"
"93"	28	93	3	0	"Genetic"
"94"	40	94	3	0	"Genetic"
"95"	48	95	3	0	"Genetic"
"96"	72	96	3	0	"Genetic"
"97"	79	97	3	0	"Genetic"
"98"	25	98	2	0	"Genetic"
"99"	33	99	2	0	"Genetic"
"100"	33	100	2	0	"Genetic"
"101"	43	101	2	0	"Genetic"
"102"	13	102	1	0	"Genetic"
"103"	45	103	1	0	"Genetic"
"104"	45	104	1	0	"Genetic"
"105"	55	105	1	0	"Genetic"
"106"	81	106	1	0	"Genetic"
"107"	7	107	0	0	"Genetic"
