"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	40	0	"ROOT"
"2"	2	2	40	0	"ROOT"
"3"	3	3	40	0	"ROOT"
"4"	4	4	40	0	"ROOT"
"5"	5	5	40	0	"ROOT"
"6"	6	6	40	0	"ROOT"
"7"	7	7	40	0	"ROOT"
"8"	8	8	40	0	"ROOT"
"9"	9	9	40	0	"ROOT"
"10"	10	10	40	0	"ROOT"
"11"	9	11	30	30	"Genetic"
"12"	7	12	24	0	"Genetic"
"13"	2	13	23	0	"Genetic"
"14"	7	14	23	0	"Genetic"
"15"	9	15	22	0	"Genetic"
"16"	3	16	21	0	"Genetic"
"17"	5	17	21	0	"Genetic"
"18"	16	18	20	0	"Genetic"
"19"	13	19	18	0	"Genetic"
"20"	2	20	17	0	"Genetic"
"21"	1	21	16	16	"Genetic"
"22"	1	22	16	0	"Genetic"
"23"	5	23	16	0	"Genetic"
"24"	6	24	16	0	"Genetic"
"25"	14	25	16	0	"Genetic"
"26"	17	26	16	0	"Genetic"
"27"	2	27	15	0	"Genetic"
"28"	7	28	15	0	"Genetic"
"29"	7	29	15	0	"Genetic"
"30"	7	30	15	0	"Genetic"
"31"	9	31	15	0	"Genetic"
"32"	13	32	15	0	"Genetic"
"33"	13	33	15	0	"Genetic"
"34"	14	34	15	0	"Genetic"
"35"	14	35	15	0	"Genetic"
"36"	26	36	15	0	"Genetic"
"37"	26	37	15	0	"Genetic"
"38"	3	38	14	0	"Genetic"
"39"	10	39	14	0	"Genetic"
"40"	32	40	14	0	"Genetic"
"41"	32	41	14	0	"Genetic"
"42"	2	42	13	0	"Genetic"
"43"	7	43	13	0	"Genetic"
"44"	17	44	13	0	"Genetic"
"45"	19	45	13	0	"Genetic"
"46"	9	46	12	0	"Genetic"
"47"	10	47	12	0	"Genetic"
"48"	26	48	12	0	"Genetic"
"49"	32	49	12	0	"Genetic"
"50"	32	50	12	12	"Genetic"
"51"	3	51	10	0	"Genetic"
"52"	27	52	9	0	"Genetic"
"53"	31	53	9	0	"Genetic"
"54"	49	54	9	0	"Genetic"
"55"	12	55	8	0	"Genetic"
"56"	19	56	8	0	"Genetic"
"57"	1	57	7	0	"Genetic"
"58"	2	58	7	0	"Genetic"
"59"	27	59	7	0	"Genetic"
"60"	1	60	6	0	"Genetic"
"61"	2	61	6	0	"Genetic"
"62"	59	62	6	0	"Genetic"
"63"	1	63	5	0	"Genetic"
"64"	2	64	5	0	"Genetic"
"65"	10	65	5	0	"Genetic"
"66"	25	66	5	0	"Genetic"
"67"	56	67	5	0	"Genetic"
"68"	8	68	4	0	"Genetic"
"69"	12	69	4	0	"Genetic"
"70"	40	70	4	0	"Genetic"
"71"	47	71	4	0	"Genetic"
"72"	19	72	3	0	"Genetic"
"73"	45	73	3	0	"Genetic"
"74"	71	74	3	0	"Genetic"
"75"	9	75	2	0	"Genetic"
"76"	32	76	2	0	"Genetic"
"77"	45	77	2	0	"Genetic"
"78"	20	78	1	0	"Genetic"
"79"	25	79	1	0	"Genetic"
"80"	25	80	1	0	"Genetic"
"81"	28	81	1	0	"Genetic"
"82"	32	82	1	0	"Genetic"
"83"	48	83	1	0	"Genetic"
"84"	59	84	1	0	"Genetic"
"85"	70	85	1	0	"Genetic"
"86"	3	86	0	0	"Genetic"
"87"	5	87	0	0	"Genetic"
"88"	28	88	0	0	"Genetic"
"89"	30	89	0	0	"Genetic"
"90"	38	90	0	0	"Genetic"
"91"	38	91	0	0	"Genetic"
"92"	41	92	0	0	"Genetic"
"93"	47	93	0	0	"Genetic"
"94"	65	94	0	0	"Genetic"
